Title,Rating,Votes,Duration,Genre
340. After Link,7.5,20,14,sci-fi
341. Alien Love,5.4,53,75,sci-fi
342. Mobile Suit Gundam: Silver Phantom,6.1,13,90,sci-fi
345. Code Geass: Rozé of the Recapture - Part 1,7.9,40,74,sci-fi
346. The Trail,7.2,19,80,sci-fi
350. Vstretimsya vchera,6.4,340,79,sci-fi
351. Biónica,7.2,7,82,sci-fi
354. Darshini,8.8,2100,120,sci-fi
355. Boomerang,7.3,388,134,sci-fi
357. Quadrant: Noir Version,7.0,9,73,sci-fi
361. Indrani: Epic-1 Dharam vs Karam,7.6,1100,157,sci-fi
363. Tobias and the Arcane Merchant,9.0,42,167,sci-fi
365. Ogiva: O Mundo Não é Mais Nosso,5.6,29,80,sci-fi
366. Back to 2005,8.3,45,88,sci-fi
371. Sith Wars: Episódio III - Fantasmas Dos Sith,8.6,113,99,sci-fi
376. Horse with No Name,7.5,12,72,sci-fi
377. The Uncertainty Principle,7.9,10,89,sci-fi
386. Kadaisi Ulaga Por,6.2,1200,140,sci-fi
387. Bloody Escape,6.1,25,100,sci-fi
389. The Burned Hand,8.0,12,85,sci-fi
390. Stock Shark,7.2,53,47,sci-fi
395. Waning Poetic,8.4,11,93,sci-fi
398. What Lies Within,5.3,13,90,sci-fi
406. Trap,3.3,15,118,sci-fi
410. Code Geass: Rozé of the Recapture: Part 2,8.0,26,76,sci-fi
411. Astra,6.8,8,80,sci-fi
417. Secret Within the Sphere,7.8,19,73,sci-fi
419. I 20,9.1,493,114,sci-fi
421. Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0,9,50,sci-fi
422. Kohinoor,8.1,22,119,sci-fi
424. Soul Traveler (The Feature),4.2,22,96,sci-fi
433. A Cápsula,6.4,5,92,sci-fi
435. Best Cop Ever,4.3,49,122,sci-fi
450. Aliens Uncovered: UFOs Over Arizona,8.4,16,116,sci-fi
453. Someone Dies!,7.3,12,86,sci-fi
457. Through the Graves the Wind Is Blowing,7.1,70,80,sci-fi
458. Alien Love: Deleted Scenes,8.6,10,7,sci-fi
462. The Winter Prophecy,7.9,13,52,sci-fi
464. Mertsanie,5.8,17,92,sci-fi
469. He Has Gone Rogue - The Return of Cyrus,8.8,32,60,sci-fi
471. Code Geass: Rozé of the Recapture: Part 3,7.6,23,76,sci-fi
474. 2015: Future Uncertain,6.9,17,72,sci-fi
481. Tsena doveriya,5.8,27,83,sci-fi
482. Code Geass: Rozé of the Recapture: Part 4,6.8,13,70,sci-fi
484. Isle: Alpha One,8.4,7,97,sci-fi
491. Kyle and the Last Emerald 2,8.4,7,15,sci-fi
500. Tomorrow Is Another Dream,6.5,16,80,sci-fi
501. Captain Corpse,7.6,10,105,sci-fi
509. Gut Instinct,6.4,9,84,sci-fi
541. The Clashing Elements: Saviors of the Multiverse,6.6,7,91,sci-fi
550. Morana,6.2,26,119,sci-fi
556. Zen Fist,7.2,8,45,sci-fi
560. StarGazer: The Need of the Many,5.0,9,47,sci-fi
577. The Blinkless,7.8,12,59,sci-fi
583. PW V: Tears of the Fallen,8.2,11,60,sci-fi
587. Gostya iz kosmosa,8.5,6,70,sci-fi
